feature,importance
loan_percent_income,0.14836614228113024
loan_int_rate,0.1465240920125061
previous_loan_defaults_on_file_No,0.1396864701325128
previous_loan_defaults_on_file_Yes,0.11704893587581354
person_income,0.11538209703246528
loan_amnt,0.057401052323407274
credit_score,0.05412379983063385
person_home_ownership_RENT,0.03398258518567118
person_age,0.02977758884997064
person_emp_exp,0.02658783111038305
cb_person_cred_hist_length,0.024440695188841427
person_home_ownership_MORTGAGE,0.020392898188891832
person_home_ownership_OWN,0.010467379758322983
loan_intent_DEBTCONSOLIDATION,0.008211185211313215
loan_intent_HOMEIMPROVEMENT,0.007983591061894262
loan_intent_MEDICAL,0.00793010368659028
loan_intent_VENTURE,0.006592752912118142
loan_intent_EDUCATION,0.006033419192974168
person_education_Bachelor,0.005885319378720993
person_gender_male,0.005615941128749333
person_education_Associate,0.005571328899125626
person_gender_female,0.005557249911225507
person_education_High School,0.005389654996853024
loan_intent_PERSONAL,0.004898057069166556
person_education_Master,0.004628527745279443
person_education_Doctorate,0.0009910877923171384
person_home_ownership_OTHER,0.0005302132431222063
